Gameid,totSubmit,avr_T,avr_U,ans,U/ans,median_U,min_U,gameid,var_degree,avr_degree,N/avr_degree,U/n,circlecount,n,,log(CC/n!),averagelen,logVar,3len/3!,4len/4!,...,,,,,,,,,,,..,,,,,,,,,,
40,125,51.864,3.256,7,0.465143,1,0,40,1.56213,2.76923,22.3433676677941,0.250461538461538,117068638,13,8.06844056571469,-3.97389,9.49772,15.954,1425.67,1893.08,1896.68,1427.37,796.507,320.547,88.2394,15.0083,0.2,0.00909091,0,,,,3.15401901095444,3.27716896727834,3.27799406470146,3.15453656465618,2.90118959689549,2.50589171667586,1.94566254637711,1.17633150220786,-0.698970004336019,
41,126,33.6825,0.31746,7,0.0453515,0,0,41,2.17751,2.76923,22.62348745354,0.02442,147772956,13,8.16959496088805,-3.74098,9.72709,13.4064,1484,1983.08,2001.08,1518.37,855.65,348.672,97.6839,17.1083,0.472727,0.0242424,0,,,,3.17143390094301,3.29734023455716,3.30126445138686,3.18137761436459,2.93229615468588,2.54241707288862,1.98982299035808,1.23320685715657,-0.325389592078007,
42,126,26.5238,0.555556,6,0.0925926,0,0,42,1.40828,2.76923,23.0687644838168,0.0427350769230769,213988034,13,8.33038948870869,-3.37073,10.0638,11.1654,1548.33,2086.58,2127.08,1634.57,936.392,390.297,113.128,21.0083,1.07273,0.0666667,0,,,,3.18986352863702,3.31943504032619,3.32778382413178,3.21340352385354,2.9714576946757,2.59139521310945,2.05357010926228,1.3223909105454,0.0304904262850101,
43,126,39.9444,2.40476,6,0.400794,0,0,43,1.80556,3.16667,26.4665102137536,0.200396666666667,227948392,12,8.35783653293636,-0.742585,12.5891,10.0698,1612.67,2190.08,2253.08,1750.77,1017.14,431.922,128.573,24.9083,1.67273,0.109091,,,,,3.20754550697886,3.34045997918897,3.35277661247027,3.24322909623095,3.00738073369257,2.63540532545354,2.1091497774363,1.39634408780093,0.223425845939563,
44,124,45.1532,2.22581,7,0.317972,0,0,44,1.45562,2.92308,24.820708508832,0.171216153846154,309946030,13,8.49128607798349,-3.00026,10.1061,10.9833,1679.67,2299.58,2388.68,1878.17,1107.48,479.547,146.684,29.6083,2.41818,0.0545455,0,,,,3.22522396550166,3.36164852282686,3.37815797329837,3.27373489928287,3.04433589203455,2.68083117843128,2.16638274444538,1.47141347250872,0.383488624935515,
45,122,44.6557,1.86885,7,0.266979,0,0,45,1.14793,3.07692,26.4998656687323,0.143757692307692,409699048,13,8.61246495480297,-2.72123,10.2939,9.59422,1749.67,2415.83,2535.08,2018.17,1208.62,533.922,167.795,35.2083,3.32727,0.122727,0,,,,3.24295614543287,3.38306637007345,3.40399166899888,3.30495774611908,3.0822897765894,2.72747781612248,2.22477901546311,1.54664505607152,0.522088044256956,
46,126,39.127,1.7381,7,0.248299,0,0,46,1.25444,3.23077,28.130648218327,0.1337,509452066,13,8.70710332779089,-2.50332,10.4082,8.89008,1819.67,2532.08,2681.48,2158.17,1309.76,588.297,188.906,40.8083,4.23636,0.190909,0,,,,3.25999263514241,3.40347742291313,3.42837456209639,3.33408565126164,3.11719172296518,2.76959663372355,2.27624575212781,1.61074850322715,0.626992858746652,
47,126,33.619,1.06349,6,0.177249,0,0,47,2.72222,3.66667,31.848077366782,0.0886241666666667,485100124,12,8.68583138563927,0.0126514,13.1674,8.31203,1889.67,2648.33,2827.88,2298.17,1410.91,642.672,210.017,46.4083,5.14545,0.259091,,,,,3.27638596835721,3.42297210019723,3.45146097639659,3.36138215112824,3.14949931159277,2.80798937893578,2.32225445048331,1.66659565990488,0.711423362377508,
48,122,31.8689,0.385246,7,0.0550351,0,0,48,2.55621,3.53846,31.0218445169007,0.0296343076923077,584853142,13,8.76704682740533,-2.36529,10.2304,10.285,1959.67,2764.58,2974.28,2438.17,1512.05,697.047,231.128,52.0083,6.05455,0.0681818,0,,,,3.29218294419048,3.44162916184786,3.47338185078005,3.38706398327087,3.17956615251774,2.84326206239138,2.36385256126832,1.71607265818388,0.782081870058862,
49,121,31.314,0.892562,6,0.14876,0,0,49,2.97222,3.83333,33.7022252633019,0.0743801666666667,619287760,12,8.79189249642005,0.256866,11.4137,9.1254,2029.67,2880.83,3120.68,2578.17,1613.19,751.422,252.239,57.6083,6.96364,0.136364,,,,,3.30742543257862,3.45951763098424,3.49424923763063,3.41131155057664,3.2076855211968,2.8758839061103,2.4018122359854,1.76048505954327,0.84283631125995,
50,127,37.0787,1.06299,7,0.151856,0,0,50,2.36686,3.69231,32.7018795918114,0.0817684615384615,719040778,13,8.85675352064464,-2.15874,10.2492,10.5292,2099.67,2997.08,3267.08,2718.17,1714.34,805.797,273.351,63.2083,7.87273,0.0681818,0,,,,3.32215104309542,3.47669833556988,3.51415976904329,3.43427661492522,3.23409695847422,2.90622564616744,2.43672066701004,1.80077411004699,0.89612535730753,
51,119,53.6134,4.06723,7,0.581032,1,0,51,2.5,4,35.5082763016874,0.338935833333333,753475396,12,8.87706907542186,0.452992,11.2208,9.34126,2169.67,3113.33,3413.48,2858.17,1815.48,860.172,294.462,68.8083,8.78182,0.136364,,,,,3.33639368404322,3.4932251565268,3.53319736261026,3.45608805645853,3.25899146892642,2.93458530145522,2.46902925750979,1.83764082815973,0.943584531173301,
