gid=,35, btcnt=,737, method=,M,prejudgesize=,0
gid=,35, btcnt=,571, method=,D,prejudgesize=,0
gid=,35, btcnt=,1519, method=,R,prejudgesize=,0
gid=,36, btcnt=,582, method=,M,prejudgesize=,5
gid=,36, btcnt=,7, method=,D,prejudgesize=,5
gid=,36, btcnt=,2033, method=,R,prejudgesize=,5
gid=,36, btcnt=,340, method=,M,prejudgesize=,6
gid=,36, btcnt=,1, method=,D,prejudgesize=,6
gid=,36, btcnt=,3207, method=,R,prejudgesize=,6
gid=,36, btcnt=,308, method=,M,prejudgesize=,2
gid=,36, btcnt=,16, method=,D,prejudgesize=,2
gid=,36, btcnt=,1438, method=,R,prejudgesize=,2
gid=,36, btcnt=,263, method=,M,prejudgesize=,0
gid=,36, btcnt=,7, method=,D,prejudgesize=,0
gid=,36, btcnt=,1431, method=,R,prejudgesize=,0
gid=,37, btcnt=,1672, method=,M,prejudgesize=,5
gid=,37, btcnt=,107, method=,D,prejudgesize=,5
gid=,37, btcnt=,1117, method=,R,prejudgesize=,5
gid=,37, btcnt=,1732, method=,M,prejudgesize=,6
gid=,37, btcnt=,54, method=,D,prejudgesize=,6
gid=,37, btcnt=,1689, method=,R,prejudgesize=,6
gid=,37, btcnt=,747, method=,M,prejudgesize=,2
gid=,37, btcnt=,114, method=,D,prejudgesize=,2
gid=,37, btcnt=,1494, method=,R,prejudgesize=,2
gid=,37, btcnt=,695, method=,M,prejudgesize=,0
gid=,37, btcnt=,77, method=,D,prejudgesize=,0
gid=,37, btcnt=,1489, method=,R,prejudgesize=,0
gid=,38, btcnt=,1544, method=,M,prejudgesize=,5
gid=,38, btcnt=,463, method=,D,prejudgesize=,5
gid=,38, btcnt=,2503, method=,R,prejudgesize=,5
gid=,38, btcnt=,1750, method=,M,prejudgesize=,6
gid=,38, btcnt=,408, method=,D,prejudgesize=,6
gid=,38, btcnt=,3589, method=,R,prejudgesize=,6
gid=,38, btcnt=,1551, method=,M,prejudgesize=,2
gid=,38, btcnt=,205, method=,D,prejudgesize=,2
gid=,38, btcnt=,1484, method=,R,prejudgesize=,2
gid=,38, btcnt=,1500, method=,M,prejudgesize=,0
gid=,38, btcnt=,185, method=,D,prejudgesize=,0
gid=,38, btcnt=,1484, method=,R,prejudgesize=,0
gid=,39, btcnt=,365, method=,M,prejudgesize=,5
gid=,39, btcnt=,922, method=,D,prejudgesize=,5
gid=,39, btcnt=,1268, method=,R,prejudgesize=,5
gid=,39, btcnt=,198, method=,M,prejudgesize=,6
gid=,39, btcnt=,674, method=,D,prejudgesize=,6
gid=,39, btcnt=,1006, method=,R,prejudgesize=,6
gid=,39, btcnt=,202, method=,M,prejudgesize=,2
gid=,39, btcnt=,436, method=,D,prejudgesize=,2
gid=,39, btcnt=,582, method=,R,prejudgesize=,2
gid=,39, btcnt=,184, method=,M,prejudgesize=,0
gid=,39, btcnt=,373, method=,D,prejudgesize=,0
gid=,39, btcnt=,571, method=,R,prejudgesize=,0
gid=,40, btcnt=,0, method=,M,prejudgesize=,5
gid=,40, btcnt=,306, method=,D,prejudgesize=,5
gid=,40, btcnt=,2008, method=,R,prejudgesize=,5
gid=,40, btcnt=,0, method=,M,prejudgesize=,6
gid=,40, btcnt=,241, method=,D,prejudgesize=,6
gid=,40, btcnt=,3633, method=,R,prejudgesize=,6
gid=,40, btcnt=,0, method=,M,prejudgesize=,2
gid=,40, btcnt=,181, method=,D,prejudgesize=,2
gid=,40, btcnt=,2173, method=,R,prejudgesize=,2
gid=,40, btcnt=,0, method=,M,prejudgesize=,0
gid=,40, btcnt=,119, method=,D,prejudgesize=,0
gid=,40, btcnt=,2147, method=,R,prejudgesize=,0
