gid=,112, btcnt=,0, method=,,gid=,112, btcnt=,0, method=,D,prejudgesize=,0
gid=,113, btcnt=,0, method=,,gid=,113, btcnt=,0, method=,D,prejudgesize=,0
gid=,114, btcnt=,147, method=,,gid=,114, btcnt=,29, method=,D,prejudgesize=,0
gid=,115, btcnt=,939, method=,,gid=,115, btcnt=,50, method=,D,prejudgesize=,0
gid=,116, btcnt=,0, method=,,gid=,116, btcnt=,0, method=,D,prejudgesize=,0
gid=,117, btcnt=,0, method=,,gid=,117, btcnt=,54, method=,D,prejudgesize=,0
gid=,118, btcnt=,0, method=,,gid=,118, btcnt=,0, method=,D,prejudgesize=,0
gid=,119, btcnt=,0, method=,,gid=,119, btcnt=,33, method=,D,prejudgesize=,0
gid=,120, btcnt=,0, method=,,gid=,120, btcnt=,0, method=,D,prejudgesize=,0
gid=,121, btcnt=,0, method=,,gid=,121, btcnt=,0, method=,D,prejudgesize=,0
gid=,122, btcnt=,0, method=,,gid=,122, btcnt=,0, method=,D,prejudgesize=,0
gid=,123, btcnt=,0, method=,,gid=,123, btcnt=,0, method=,D,prejudgesize=,0
gid=,124, btcnt=,147, method=,,gid=,124, btcnt=,29, method=,D,prejudgesize=,0
gid=,125, btcnt=,939, method=,,gid=,125, btcnt=,50, method=,D,prejudgesize=,0
gid=,126, btcnt=,0, method=,,gid=,126, btcnt=,0, method=,D,prejudgesize=,0
gid=,127, btcnt=,0, method=,,gid=,127, btcnt=,54, method=,D,prejudgesize=,0
gid=,128, btcnt=,0, method=,,gid=,128, btcnt=,0, method=,D,prejudgesize=,0
gid=,129, btcnt=,0, method=,,gid=,129, btcnt=,33, method=,D,prejudgesize=,0
gid=,130, btcnt=,0, method=,,gid=,130, btcnt=,0, method=,D,prejudgesize=,0
gid=,131, btcnt=,0, method=,,gid=,131, btcnt=,0, method=,D,prejudgesize=,0
gid=,132, btcnt=,0, method=,,gid=,132, btcnt=,0, method=,D,prejudgesize=,0
gid=,133, btcnt=,0, method=,,gid=,133, btcnt=,0, method=,D,prejudgesize=,0
gid=,134, btcnt=,147, method=,,gid=,134, btcnt=,29, method=,D,prejudgesize=,0
gid=,135, btcnt=,939, method=,,gid=,135, btcnt=,50, method=,D,prejudgesize=,0
gid=,136, btcnt=,0, method=,,gid=,136, btcnt=,0, method=,D,prejudgesize=,0
gid=,137, btcnt=,0, method=,,gid=,137, btcnt=,54, method=,D,prejudgesize=,0
gid=,138, btcnt=,0, method=,,gid=,138, btcnt=,0, method=,D,prejudgesize=,0
gid=,139, btcnt=,0, method=,,gid=,139, btcnt=,33, method=,D,prejudgesize=,0
gid=,140, btcnt=,0, method=,,gid=,140, btcnt=,0, method=,D,prejudgesize=,0
gid=,141, btcnt=,0, method=,,gid=,141, btcnt=,0, method=,D,prejudgesize=,0
gid=,142, btcnt=,0, method=,,gid=,142, btcnt=,0, method=,D,prejudgesize=,0
gid=,143, btcnt=,0, method=,,gid=,143, btcnt=,61, method=,D,prejudgesize=,0
gid=,144, btcnt=,0, method=,,gid=,144, btcnt=,0, method=,D,prejudgesize=,0
gid=,145, btcnt=,0, method=,,gid=,145, btcnt=,40, method=,D,prejudgesize=,0
gid=,146, btcnt=,0, method=,,gid=,146, btcnt=,0, method=,D,prejudgesize=,0
gid=,147, btcnt=,0, method=,,gid=,147, btcnt=,2127, method=,D,prejudgesize=,0
gid=,148, btcnt=,0, method=,,gid=,148, btcnt=,148, method=,D,prejudgesize=,0
gid=,149, btcnt=,0, method=,,gid=,149, btcnt=,0, method=,D,prejudgesize=,0
gid=,150, btcnt=,0, method=,,gid=,150, btcnt=,3, method=,D,prejudgesize=,0
gid=,151, btcnt=,0, method=,,gid=,151, btcnt=,0, method=,D,prejudgesize=,0
gid=,152, btcnt=,0, method=,,gid=,152, btcnt=,0, method=,D,prejudgesize=,0
gid=,153, btcnt=,0, method=,,gid=,153, btcnt=,61, method=,D,prejudgesize=,0
gid=,154, btcnt=,0, method=,,gid=,154, btcnt=,0, method=,D,prejudgesize=,0
gid=,155, btcnt=,0, method=,,gid=,155, btcnt=,40, method=,D,prejudgesize=,0
gid=,156, btcnt=,0, method=,,gid=,156, btcnt=,0, method=,D,prejudgesize=,0
gid=,157, btcnt=,0, method=,,gid=,157, btcnt=,2127, method=,D,prejudgesize=,0
gid=,158, btcnt=,0, method=,,gid=,158, btcnt=,148, method=,D,prejudgesize=,0
gid=,159, btcnt=,0, method=,,gid=,159, btcnt=,0, method=,D,prejudgesize=,0
gid=,160, btcnt=,0, method=,,gid=,160, btcnt=,3, method=,D,prejudgesize=,0
gid=,161, btcnt=,0, method=,,gid=,161, btcnt=,0, method=,D,prejudgesize=,0
gid=,162, btcnt=,0, method=,,gid=,162, btcnt=,0, method=,D,prejudgesize=,0
gid=,163, btcnt=,0, method=,,gid=,163, btcnt=,61, method=,D,prejudgesize=,0
gid=,164, btcnt=,0, method=,,gid=,164, btcnt=,0, method=,D,prejudgesize=,0
gid=,165, btcnt=,0, method=,,gid=,165, btcnt=,40, method=,D,prejudgesize=,0
gid=,166, btcnt=,0, method=,,gid=,166, btcnt=,0, method=,D,prejudgesize=,0
gid=,167, btcnt=,0, method=,,gid=,167, btcnt=,2127, method=,D,prejudgesize=,0
gid=,168, btcnt=,0, method=,,gid=,168, btcnt=,148, method=,D,prejudgesize=,0
gid=,169, btcnt=,0, method=,,gid=,169, btcnt=,0, method=,D,prejudgesize=,0
gid=,170, btcnt=,0, method=,,gid=,170, btcnt=,3, method=,D,prejudgesize=,0
gid=,171, btcnt=,0, method=,,gid=,171, btcnt=,0, method=,D,prejudgesize=,0
gid=,172, btcnt=,0, method=,,gid=,172, btcnt=,0, method=,D,prejudgesize=,0
