82 0/2.1/1.1/2.1/4.3/0.1.1.1.3.3.
81 1/2.1/4.1.1.2.2.
81 0/2.1/3.1/3.1.1.1.1.2.2.
81 0/1.0/1.0/1.0/4.1.2.2.2.
81 0/1.0/1.1/1.1/1.1.1.2.
81 2/2.2/2.3/1.3/2.1.1.2.3.
80 0/1.1/0.1/3.2/1.1.2.2.
80 0/2.1/2.1/4.2/2.1.1.1.2.2.3.
79 2/2.2/3.3/1.3/2.1.1.1.2.3.
79 0/1.0/4.1/1.1/1.2/0.1.1.1.2.2.
79 0/1.1/2.2/0.2/0.2/1.3/0.2.2.
79 1/2.1/3.1/3.3/1.3/2.3/2.4/1.4/2.2.4.5.5.
78 1/2.1/2.1.1.1.1.
78 1/0.1/1.2/0.2/0.1
78 0/2.1/1.1/2.1/3.3/0.2.3.3.
78 0/2.0/2.1/1.1/2.2/1.2/1.1.1.1.2.2.2.
78 2/1.2/2.3/1.3/2.3/2.4/1.4/2.5/2.6/0.4.4.5.
77 1/0.1/1.1/2.2/3.3/0.3/2.3/3.2.3.3.3.
76 0/1.0/1.0/3.0/3.1.1.1.1.2.2.
75 0/2.1/2.1/4.1.2.2.3.
75 1/2.1/4.2/1.1.1.1.2.2.
75 0/1.1/0.1/2.2/1.1.1.2.
75 1/2.1/2.1/2.3/2.1.1.2.2.2.
75 1/2.1/2.1/4.3/2.1.2.2.2.3.
75 1/1.1/2.2/0.2/0.2/1.3/0.3/2.4/0.2.2.2.
74 0/1.0/1.0/2.0/3.2.2.3.
74 1/0.1/1.2/0.2/1.1.1.
74 1/0.1/1.1/2.2/3.3/1.1.1.2.3.
74 0/2.0/3.2/1.2/2.2/3.3/1.3/1.2.3.4.4.
73 0/2.0/2.0/3.2.2.3.
72 0/3.1/3.2/0.2/1.2/2.3/1.3/2.3/3.3.3.4.5.
71 0/3.1/0.1/1.1.1.1.1.
71 0/1.2/0.2/1.2/1.1.2.
71 0/1.0/1.1/1.1/3.2/2.1.1.2.2.2.
71 0/2.1/0.1/1.1/2.1/3.2/1.2.2.2.3.
71 0/1.0/2.2/1.2/2.3/0.3/3.4/2.2.3.3.3.
71 2/0.3/0.3/1.3/3.4/1.4/2.5/0.2.2.3.
70 0/4.0/7.1.1.1.1.1.1.1.1.1.2.
70 0/1.1/1.1/2.1.1.1.1.
70 1/0.1/1.2/1.2
70 0/1.1/1.1/3.2/1.1.2.3.
70 0/2.0/2.1/1.1/1.1.1.1.3.
70 0/1.2/0.2/0.2/2.2/2.1.2.2.
70 1/1.2/0.2/0.2/1.3/0.2
70 1/1.2/1.2/1.3/1.4/0.4
70 1/2.2/0.2/1.2/3.3/1.3/1.3/1.1.2.3.3.
70 3/1.3/1.4/0.4/0.4/1.4/1.5/0.5/1.1.4.
69 0/2.1/0.1/0.1.1.
69 0/2.1/1.1/4.2/0.1.1.2.3.
69 2/1.2/1.2/2.2/2.3/1.3/1.4/1.4/2.1.2.4.4.
68 0/1.0/2.0/2.0/3.1.2.2.3.
68 0/1.0/2.0/2.0/4.2.2.2.3.
67 1/0.1/1.2/2.1.1.1.
