0/1.;1. 8174
1/1.1/2.2/1.2/2.2/2.3/0.3/0.4/2.;1.2.3.4. 85
3/2.4/0.4/0.4/1.4/2.5/0.5/1.5/1.6/1.8/0.8/1.;3.6. 85
0/1.0/2.1/0.1/0.1/1.1/2.2/1.;1.1.1.4. 84
0/1.1/0.1/1.1/1.1/2.;1.2.2. 84
1/0.1/1.1/1.1/2.;2.2. 84
0/1.0/3.0/3.;1.1.1.2.2. 83
0/2.1/1.1/2.;1.2.2. 83
1/2.2/1.2/1.2/1.2/2.3/1.4/0.;2.3.3. 83
0/2.1/1.1/2.1/4.3/0.;1.1.1.3.3. 82
1/1.1/2.2/0.2/1.;1.1.1.1. 82
0/1.0/1.0/1.0/4.;1.2.2.2. 81
0/1.0/1.1/1.1/1.;1.1.2. 81
0/2.1/3.1/3.;1.1.1.1.2.2. 81
1/2.1/4.;1.1.2.2. 81
2/2.2/2.3/1.3/2.;1.1.2.3. 81
0/1.1/0.1/3.2/1.;1.2.2. 80
0/2.1/2.1/4.2/2.;1.1.1.2.2.3. 80
0/1.0/4.1/1.1/1.2/0.;1.1.1.2.2. 79
0/1.1/2.2/0.2/0.2/1.3/0.;2.2. 79
1/2.1/3.1/3.3/1.3/2.3/2.4/1.4/2.;2.4.5.5. 79
2/2.2/3.3/1.3/2.;1.1.1.2.3. 79
0/2.0/2.1/1.1/2.2/1.2/1.;1.1.1.2.2.2. 78
0/2.1/1.1/2.1/3.3/0.;2.3.3. 78
1/0.1/1.2/0.2/0.;1. 78
1/2.1/2.;1.1.1.1. 78
2/1.2/2.3/1.3/2.3/2.4/1.4/2.5/2.6/0.;4.4.5. 78
1/0.1/1.1/2.2/3.3/0.3/2.3/3.;2.3.3.3. 77
0/1.0/1.0/3.0/3.;1.1.1.1.2.2. 76
0/1.1/0.1/2.2/1.;1.1.2. 75
0/2.1/2.1/4.;1.2.2.3. 75
1/1.1/2.2/0.2/0.2/1.3/0.3/2.4/0.;2.2.2. 75
1/2.1/2.1/2.3/2.;1.1.2.2.2. 75
1/2.1/2.1/4.3/2.;1.2.2.2.3. 75
1/2.1/4.2/1.;1.1.1.2.2. 75
0/1.0/1.0/2.0/3.;2.2.3. 74
0/2.0/3.2/1.2/2.2/3.3/1.3/1.;2.3.4.4. 74
1/0.1/1.1/2.2/3.3/1.;1.1.2.3. 74
1/0.1/1.2/0.2/1.;1.1. 74
0/2.0/2.0/3.;2.2.3. 73
0/3.1/3.2/0.2/1.2/2.3/1.3/2.3/3.;3.3.4.5. 72
0/1.0/1.1/1.1/3.2/2.;1.1.2.2.2. 71
0/1.0/2.2/1.2/2.3/0.3/3.4/2.;2.3.3.3. 71
0/1.2/0.2/1.2/1.;1.2. 71
0/2.1/0.1/1.1/2.1/3.2/1.;2.2.2.3. 71
0/3.1/0.1/1.;1.1.1.1. 71
2/0.3/0.3/1.3/3.4/1.4/2.5/0.;2.2.3. 71
0/1.1/1.1/2.;1.1.1.1. 70
0/1.1/1.1/3.2/1.;1.2.3. 70
0/1.2/0.2/0.2/2.2/2.;1.2.2. 70
0/2.0/2.1/1.1/1.;1.1.1.3. 70
0/4.0/7.;1.1.1.1.1.1.1.1.1.2. 70
1/0.1/1.2/1.;2. 70
1/1.2/0.2/0.2/1.3/0.;2. 70
1/1.2/1.2/1.3/1.4/0.;4. 70
1/2.2/0.2/1.2/3.3/1.3/1.3/1.;1.2.3.3. 70
3/1.3/1.4/0.4/0.4/1.4/1.5/0.5/1.;1.4. 70
0/2.1/0.1/0.;1.1. 69
0/2.1/1.1/4.2/0.;1.1.2.3. 69
2/1.2/1.2/2.2/2.3/1.3/1.4/1.4/2.;1.2.4.4. 69
0/1.0/2.0/2.0/3.;1.2.2.3. 68
0/1.0/2.0/2.0/4.;2.2.2.3. 68
1/0.1/1.1/2.2/0.3/1.;1.1.2. 67
1/0.1/1.2/2.;1.1.1. 67
2/0.3/0.4/0.4/0.4/0.4/0.5/0.; 67
0/1.0/1.0/2.;1.3. 66
0/1.0/2.1/0.1/2.2/1.;1.1.1.1.2. 66
0/1.0/2.1/1.1/1.;1.1.3. 66
0/1.1/1.1/3.;1.1.1.2. 66
0/2.1/3.2/2.2/4.3/3.4/0.;2.4.4.4. 66
0/2.1/4.1/4.;1.2.2.2.3. 66
1/0.1/3.2/1.2/2.2/3.;1.1.1.1.2.3. 66
1/0.2/0.2/0.2/0.3/0.; 66
1/4.1/6.;1.1.1.1.2.2.2. 66
0/4.1/1.1/4.;1.1.1.2.2.2. 65
1/1.1/2.2/1.;1.3. 65
1/2.1/3.2/2.2/3.;1.1.1.3.4. 65
1/3.2/2.3/0.3/2.3/4.4/2.4/2.4/2.4/3.;2.3.3.4.4.4. 65
0/1.1/2.1/2.;1.2.2. 64
0/2.1/0.1/1.1/2.1/2.;1.1.1.2.2. 64
0/2.1/1.1/1.;1.1.2. 64
0/1.1/0.1/2.1/4.3/2.;2.2.2.3. 63
1/2.2/2.3/1.3/1.3/2.3/3.5/2.6/1.;4.4.6. 63
0/1.1/0.1/1.2/0.;1.1. 62
1/1.1/2.2/0.;1.2. 62
1/0.1/4.2/2.;1.1.2.2. 61
1/1.1/3.;1.1.1.1. 61
2/0.2/0.2/1.2/1.;2. 61
2/0.2/2.3/0.3/0.3/2.3/3.4/2.;2.3.4. 61
2/1.2/2.2/2.;1.1.1.2. 61
0/1.1/1.1/1.1/1.1/2.2/2.;1.2.2.3. 60
1/0.1/2.1/2.3/0.;2.2. 60
0/1.1/1.1/4.;1.1.1.1.2. 59
