2649,253,2760,2638,204,2421,1195,137,1130,1058,94,1033,
8409,8285,14713,10824,10644,24361,4094,4009,8077,4058,3973,8037,
4776,4252,8755,5574,4898,11130,2210,1854,4056,2200,1848,4045,
933,2469,4976,847,2509,5838,418,1004,1834,367,911,1765,
0,29,899,0,9,939,0,35,653,0,15,639,
10843,8607,34841,13876,11024,47426,5094,4017,18371,4992,3944,18194,
977,220,1831,677,132,1357,494,169,836,412,108,779,
3681,3681,2664,2832,2833,1913,1801,1790,1383,1715,1704,1365,
352,161,42183,192,93,60764,206,130,24440,161,73,23939,
16931,14371,2309,21739,17878,2535,8371,6999,930,8111,6772,913,
7736,7803,50045,10100,10142,70403,4014,4031,37482,3856,3869,37303,
0,549,3649,0,442,6609,0,275,2355,0,213,2349,
0,1454,358,0,1561,391,0,650,218,0,611,213,
7057,5998,1562,6469,5733,930,2942,2560,633,2742,2375,609,
0,71,2188,0,46,3097,0,41,1324,0,29,1260,
2174,2285,0,1923,2010,0,949,1018,0,817,854,0,
3504,2619,2047,2788,2130,1212,1485,1149,805,1342,1018,764,
0,7,10196,0,1,13990,0,16,6744,0,7,6690,
1413,1301,1473,1539,1274,3659,715,579,1119,675,541,1115,
0,70,1021,0,44,1439,0,41,553,0,29,539,
7043,280,17432,7987,216,24211,3379,158,9184,3207,113,8973,
4075,3687,5376,5314,5048,9291,2133,1936,2718,2061,1876,2717,
