8	1/1.1/1.1/3.2/0.2/1.2/2.3/0.4/1.	2.3.4.	86
8	3/0.3/1.3/1.4/1.4/1.5/0.5/0.5/1.	2.3.	86
9	0/2.1/1.2/1.2/2.3/1.3/2.3/2.4/1.4/2.	2.2.4.6.	86
11	3/2.4/0.4/0.4/1.4/2.5/0.5/1.5/1.6/1.8/0.8/1.	3.6.	85
3	0/1.0/1.0/3.	1.1.1.1.1.	85
8	1/1.1/2.2/1.2/2.2/2.3/0.3/0.4/2.	1.2.3.4.	85
4	1/0.1/1.1/1.1/2.	2.2.	84
5	0/1.1/0.1/1.1/1.1/2.	1.2.2.	84
7	0/1.0/2.1/0.1/0.1/1.1/2.2/1.	1.1.1.4.	84
3	0/1.0/3.0/3.	1.1.1.2.2.	83
3	0/2.1/1.1/2.	1.2.2.	83
7	1/2.2/1.2/1.2/1.2/2.3/1.4/0.	2.3.3.	83
4	1/1.1/2.2/0.2/1.	1.1.1.1.	82
5	0/2.1/1.1/2.1/4.3/0.	1.1.1.3.3.	82
2	1/2.1/4.	1.1.2.2.	81
3	0/2.1/3.1/3.	1.1.1.1.2.2.	81
4	0/1.0/1.0/1.0/4.	1.2.2.2.	81
4	0/1.0/1.1/1.1/1.	1.1.2.	81
4	2/2.2/2.3/1.3/2.	1.1.2.3.	81
4	0/1.1/0.1/3.2/1.	1.2.2.	80
4	0/2.1/2.1/4.2/2.	1.1.1.2.2.3.	80
4	2/2.2/3.3/1.3/2.	1.1.1.2.3.	79
5	0/1.0/4.1/1.1/1.2/0.	1.1.1.2.2.	79
6	0/1.1/2.2/0.2/0.2/1.3/0.	2.2.	79
8	1/2.1/3.1/3.3/1.3/2.3/2.4/1.4/2.	2.4.5.5.	79
2	1/2.1/2.	1.1.1.1.	78
4	1/0.1/1.2/0.2/0.	1	78
5	0/2.1/1.1/2.1/3.3/0.	2.3.3.	78
6	0/2.0/2.1/1.1/2.2/1.2/1.	1.1.1.2.2.2.	78
9	2/1.2/2.3/1.3/2.3/2.4/1.4/2.5/2.6/0.	4.4.5.	78
7	1/0.1/1.1/2.2/3.3/0.3/2.3/3.	2.3.3.3.	77
4	0/1.0/1.0/3.0/3.	1.1.1.1.2.2.	76
3	0/2.1/2.1/4.	1.2.2.3.	75
3	1/2.1/4.2/1.	1.1.1.2.2.	75
4	0/1.1/0.1/2.2/1.	1.1.2.	75
4	1/2.1/2.1/2.3/2.	1.1.2.2.2.	75
4	1/2.1/2.1/4.3/2.	1.2.2.2.3.	75
8	1/1.1/2.2/0.2/0.2/1.3/0.3/2.4/0.	2.2.2.	75
4	0/1.0/1.0/2.0/3.	2.2.3.	74
4	1/0.1/1.2/0.2/1.	1.1.	74
5	1/0.1/1.1/2.2/3.3/1.	1.1.2.3.	74
7	0/2.0/3.2/1.2/2.2/3.3/1.3/1.	2.3.4.4.	74
3	0/2.0/2.0/3.	2.2.3.	73
8	0/3.1/3.2/0.2/1.2/2.3/1.3/2.3/3.	3.3.4.5.	72
3	0/3.1/0.1/1.	1.1.1.1.	71
4	0/1.2/0.2/1.2/1.	1.2.	71
5	0/1.0/1.1/1.1/3.2/2.	1.1.2.2.2.	71
6	0/2.1/0.1/1.1/2.1/3.2/1.	2.2.2.3.	71
7	0/1.0/2.2/1.2/2.3/0.3/3.4/2.	2.3.3.3.	71
7	2/0.3/0.3/1.3/3.4/1.4/2.5/0.	2.2.3.	71
2	0/4.0/7.	1.1.1.1.1.1.1.1.1.2.	70
3	0/1.1/1.1/2.	1.1.1.1.	70
3	1/0.1/1.2/1.	2	70
4	0/1.1/1.1/3.2/1.	1.2.3.	70
4	0/2.0/2.1/1.1/1.	1.1.1.3.	70
5	0/1.2/0.2/0.2/2.2/2.	1.2.2.	70
5	1/1.2/0.2/0.2/1.3/0.	2	70
5	1/1.2/1.2/1.3/1.4/0.	4	70
7	1/2.2/0.2/1.2/3.3/1.3/1.3/1.	1.2.3.3.	70
8	3/1.3/1.4/0.4/0.4/1.4/1.5/0.5/1.	1.4.	70
3	0/2.1/0.1/0.	1.1.	69
4	0/2.1/1.1/4.2/0.	1.1.2.3.	69
8	2/1.2/1.2/2.2/2.3/1.3/1.4/1.4/2.	1.2.4.4.	69
4	0/1.0/2.0/2.0/3.	1.2.2.3.	68
4	0/1.0/2.0/2.0/4.	2.2.2.3.	68
3	1/0.1/1.2/2.	1.1.1.	67
5	1/0.1/1.1/2.2/0.3/1.	1.1.2.	67
7	2/0.3/0.4/0.4/0.4/0.4/0.5/0.		67
2	1/4.1/6.	1.1.1.1.2.2.2.	66
3	0/1.0/1.0/2.	1.3.	66
3	0/1.1/1.1/3.	1.1.1.2.	66
3	0/2.1/4.1/4.	1.2.2.2.3.	66
4	0/1.0/2.1/1.1/1.	1.1.3.	66
5	0/1.0/2.1/0.1/2.2/1.	1.1.1.1.2.	66
