,1101
3.3.3.3.4.4.4.5.5.6.,4
3.3.3.3.4.4.4.5.5.6.6.,1
3.3.3.3.4.4.4.5.5.6.6.6.,1
3.3.3.3.4.4.4.5.6.7.7.9.,1
3.3.3.3.4.4.4.5.7.,1
3.3.3.3.4.4.5.5.,2
3.3.3.3.4.4.5.5.5.6.6.7.,2
3.3.3.3.4.4.5.5.5.6.7.,1
3.3.3.3.4.4.5.5.6.6.,1
3.3.3.3.4.4.5.5.6.7.7.8.8.,31
3.3.3.3.4.4.5.6.6.7.7.7.,1
3.3.3.3.4.4.5.6.6.7.8.,1
3.3.3.3.4.4.5.7.,1
3.3.3.3.4.4.6.,1
3.3.3.3.4.4.7.7.7.7.8.,1
3.3.3.3.4.5.5.5.5.6.6.,2
3.3.3.3.4.5.5.5.6.7.,1
3.3.3.3.4.5.5.6.6.6.,4
3.3.3.3.4.5.5.6.6.6.8.8.,1
3.3.3.3.4.5.6.6.6.7.,9
3.3.3.3.4.5.6.6.7.7.7.7.9.,1
3.3.3.3.5.5.5.5.5.7.,1
3.3.3.3.5.5.5.5.6.6.7.7.,16
3.3.3.4.4.4.4.4.4.6.6.7.,1
3.3.3.4.4.4.4.4.5.,1
3.3.3.4.4.4.4.4.5.6.6.6.6.6.,4
3.3.3.4.4.4.4.4.5.6.7.7.,1
3.3.3.4.4.4.4.4.5.6.7.9.,1
3.3.3.4.4.4.4.5.5.5.,1
3.3.3.4.4.4.4.5.5.5.6.7.7.,10
3.3.3.4.4.4.4.5.5.5.6.8.,1
3.3.3.4.4.4.4.5.5.5.7.7.,1
3.3.3.4.4.4.4.5.6.6.,5
3.3.3.4.4.4.4.6.6.7.,1
3.3.3.4.4.4.5.5.5.,1
3.3.3.4.4.4.5.5.5.5.8.9.,2
3.3.3.4.4.4.5.5.5.6.,2
3.3.3.4.4.4.5.5.5.6.6.6.,3
3.3.3.4.4.4.5.5.6.6.7.8.10.,3
3.3.3.4.4.4.5.5.6.6.8.9.,1
3.3.3.4.4.4.5.5.6.7.7.9.,1
3.3.3.4.4.4.5.6.6.8.,1
3.3.3.4.4.5.5.5.,1
3.3.3.4.4.5.5.5.5.5.,1
3.3.3.4.4.5.5.5.6.6.,5
3.3.3.4.4.5.5.6.6.7.,3
3.3.3.4.4.5.5.6.6.7.8.,1
3.3.3.4.4.5.5.6.7.,2
3.3.3.4.4.5.6.6.6.,2
3.3.3.4.5.5.5.5.5.5.7.8.,1
3.3.3.4.5.5.5.5.6.7.7.7.8.,12
3.3.3.4.5.5.5.5.6.7.7.9.,1
3.3.3.4.5.5.5.5.7.7.7.,21
3.3.3.4.5.5.5.6.7.7.,2
3.3.3.4.5.5.5.7.7.,1
3.3.3.4.5.5.6.6.7.,1
3.3.3.4.5.6.6.6.7.7.8.8.10.,2
3.3.3.5.5.5.5.6.7.,1
3.3.4.4.4.4.4.4.4.6.,2
3.3.4.4.4.4.4.4.5.5.7.9.,1
3.3.4.4.4.4.4.4.6.6.8.,1
3.3.4.4.4.4.4.5.5.6.,1
3.3.4.4.4.4.4.5.5.6.6.,1
3.3.4.4.4.4.4.5.5.6.7.7.8.,5
3.3.4.4.4.4.4.6.6.6.,7
3.3.4.4.4.4.5.5.5.5.6.8.10.,1
3.3.4.4.4.4.5.5.5.6.6.7.,1
3.3.4.4.4.5.5.5.5.,1
3.3.4.4.4.5.5.5.5.6.,1
3.3.4.4.4.5.5.5.5.6.6.7.7.,92
3.3.4.4.4.5.5.5.5.7.7.10.,1
3.3.4.4.4.5.5.5.6.7.8.,1
3.3.4.4.4.5.5.6.6.6.8.8.,1
3.3.4.4.4.5.6.6.6.7.,1
3.3.4.4.5.5.5.5.6.6.,1
3.3.4.4.5.5.5.5.6.7.7.,62
3.3.4.4.5.5.5.6.6.7.,9
3.3.4.4.5.5.5.6.6.7.8.,2
3.3.4.4.5.6.6.6.6.7.8.,3
3.3.4.4.5.6.6.6.7.7.8.8.8.9.,1
3.3.4.4.5.6.6.6.7.7.9.,1
3.3.4.4.5.6.6.7.,1
3.3.4.5.5.5.5.6.6.,2
3.3.4.5.6.6.6.7.7.7.8.,1
3.4.4.4.4.4.4.4.5.6.6.,4
3.4.4.4.4.4.4.5.6.6.,1
3.4.4.4.4.4.5.5.5.,1
3.4.4.4.4.4.5.5.5.6.7.9.,2
3.4.4.4.4.4.5.5.5.6.8.,1
3.4.4.4.4.4.5.5.6.6.6.7.,1
3.4.4.4.4.4.5.5.7.7.7.,17
3.4.4.4.4.4.5.6.7.7.,6
3.4.4.4.4.5.5.5.5.5.,1
3.4.4.4.4.5.5.5.5.6.6.9.,5
3.4.4.4.4.5.5.5.5.7.,1
3.4.4.4.4.5.5.5.6.6.,1
3.4.4.4.4.5.5.6.6.6.6.9.,1
3.4.4.4.4.5.5.6.6.6.7.,1
3.4.4.4.5.5.5.5.6.6.6.7.,39
3.4.4.4.5.5.5.6.6.6.,3
3.4.4.4.5.5.5.6.6.6.6.,1
3.4.4.4.5.5.6.6.6.7.7.7.10.,4
3.4.4.4.5.6.6.6.7.7.8.8.10.,8
3.4.4.4.5.6.6.7.7.7.9.,1
3.4.5.5.5.5.5.5.6.6.8.9.,1
3.4.5.5.5.5.5.5.6.7.7.9.,2
3.4.5.5.5.5.5.6.6.6.8.,1
3.4.5.5.5.6.6.6.7.7.7.9.,1
3.5.5.5.5.6.6.6.7.7.7.8.10.,9
3.5.5.5.5.6.7.7.7.8.,1
4.4.4.4.4.4.5.5.5.6.7.,1
4.4.4.4.4.5.5.5.5.6.,1
4.4.4.4.4.5.5.6.6.6.6.,1
4.4.4.4.5.5.5.6.6.7.,1
4.4.4.5.5.5.5.5.6.6.6.9.,1
4.4.4.5.5.6.6.6.7.8.9.,1
4.4.5.5.5.5.5.5.6.7.7.,1
4.4.5.5.5.5.5.6.6.6.7.,1
4.5.5.5.5.5.5.6.6.6.7.7.,2
4.5.5.5.6.6.6.6.7.7.7.8.,2
5.5.5.5.5.5.5.6.6.7.7.7.,2
5.5.5.5.5.6.6.6.7.7.7.8.,1
5.5.5.5.6.6.6.6.6.6.7.7.,1
5.5.5.6.6.6.6.6.7.7.7.8.8.,86
