,1101
1.1.1.2.2.3.3.3.4.6.6.6.,1
1.1.1.2.2.3.3.3.4.6.6.7.7.,2
1.1.1.2.2.3.3.3.5.5.6.,1
1.1.1.2.2.3.3.4.4.4.4.5.6.,1
1.1.1.2.2.3.3.4.4.4.5.6.,2
1.1.1.2.2.3.3.4.4.5.,1
1.1.1.2.2.3.3.4.4.5.6.,1
1.1.1.2.2.3.3.4.5.,9
1.1.1.2.2.3.3.4.5.5.5.6.7.7.,1
1.1.1.2.2.3.3.4.5.6.,1
1.1.1.2.2.3.3.5.,6
1.1.1.2.2.3.3.5.6.6.,1
1.1.1.2.2.3.4.,22
1.1.1.2.2.3.4.4.,29
1.1.1.2.2.3.4.4.4.,2
1.1.1.2.2.3.4.5.6.6.6.7.,1
1.1.1.2.2.3.5.5.,1
1.1.1.2.2.3.6.,1
1.1.1.2.2.4.4.5.,1
1.1.1.2.2.4.5.,1
1.1.1.2.2.5.,5
1.1.1.2.3.,136
1.1.1.2.3.3.3.,17
1.1.1.2.3.3.3.3.3.6.,2
1.1.1.2.3.3.3.3.4.4.4.5.,1
1.1.1.2.3.3.3.3.4.4.4.6.7.,4
1.1.1.2.3.3.3.3.5.,1
1.1.1.2.3.3.3.4.,7
1.1.1.2.3.3.3.4.4.,1
1.1.1.2.3.3.3.4.4.4.,1
1.1.1.2.3.3.3.4.4.5.5.,3
1.1.1.2.3.3.3.4.4.5.5.6.6.8.,2
1.1.1.2.3.3.3.4.4.5.7.,1
1.1.1.2.3.3.3.6.,1
1.1.1.2.3.3.4.4.4.5.6.6.,1
1.1.1.2.3.3.4.4.5.5.5.6.,1
1.1.1.2.3.3.4.4.5.6.8.,1
1.1.1.2.3.3.4.5.,14
1.1.1.2.3.3.4.5.5.5.,1
1.1.1.2.3.3.4.5.5.5.5.5.7.7.8.,90
1.1.1.2.3.3.4.5.6.,1
1.1.1.2.3.3.5.,6
1.1.1.2.3.3.5.6.,1
1.1.1.2.3.4.,39
1.1.1.2.3.4.4.,1
1.1.1.2.3.4.4.4.,2
1.1.1.2.3.4.4.5.5.6.,1
1.1.1.2.3.4.5.5.,3
1.1.1.3.,230
1.1.1.3.3.3.3.3.4.4.5.5.6.,1
1.1.1.3.3.3.3.3.4.6.,1
1.1.1.3.3.3.4.4.,2
1.1.1.3.3.4.5.,1
1.1.1.3.4.4.4.4.6.,2
1.1.1.3.4.4.4.5.5.,1
1.1.2.,670
1.1.2.2.,166
1.1.2.2.2.,259
1.1.2.2.2.2.,16
1.1.2.2.2.2.2.,18
1.1.2.2.2.2.2.2.,9
1.1.2.2.2.2.2.2.2.2.4.,1
1.1.2.2.2.2.2.2.2.3.3.4.,1
1.1.2.2.2.2.2.2.2.4.,1
1.1.2.2.2.2.2.2.3.3.,2
1.1.2.2.2.2.2.2.3.3.3.5.,2
1.1.2.2.2.2.2.2.3.3.4.,3
1.1.2.2.2.2.2.2.3.4.4.5.,1
1.1.2.2.2.2.2.2.4.,6
1.1.2.2.2.2.2.2.4.4.,2
1.1.2.2.2.2.2.2.5.5.,5
1.1.2.2.2.2.2.3.3.,6
1.1.2.2.2.2.2.3.3.3.5.,1
1.1.2.2.2.2.2.3.3.4.,2
1.1.2.2.2.2.2.3.4.4.4.5.6.,2
1.1.2.2.2.2.2.3.4.4.5.5.5.,1
1.1.2.2.2.2.2.3.4.5.,37
1.1.2.2.2.2.2.3.4.5.6.,2
1.1.2.2.2.2.2.3.4.5.8.,1
1.1.2.2.2.2.2.3.4.7.,2
1.1.2.2.2.2.2.3.5.,3
1.1.2.2.2.2.2.3.5.5.5.6.7.7.,2
1.1.2.2.2.2.2.3.5.6.,1
1.1.2.2.2.2.2.4.,4
1.1.2.2.2.2.2.4.4.,8
1.1.2.2.2.2.2.4.4.4.,2
1.1.2.2.2.2.2.4.5.5.6.6.,1
1.1.2.2.2.2.3.3.,33
1.1.2.2.2.2.3.3.3.3.,18
1.1.2.2.2.2.3.3.3.3.4.,7
1.1.2.2.2.2.3.3.3.3.4.4.,1
1.1.2.2.2.2.3.3.3.3.5.5.6.,2
1.1.2.2.2.2.3.3.3.4.5.,6
1.1.2.2.2.2.3.3.3.5.,1
1.1.2.2.2.2.3.3.3.5.6.,3
1.1.2.2.2.2.3.3.3.7.,3
1.1.2.2.2.2.3.3.4.,12
1.1.2.2.2.2.3.3.4.4.,5
1.1.2.2.2.2.3.3.4.4.4.,7
1.1.2.2.2.2.3.3.4.4.4.4.,2
1.1.2.2.2.2.3.3.4.4.5.5.6.,1
1.1.2.2.2.2.3.3.4.5.5.6.8.,1
1.1.2.2.2.2.3.3.4.6.6.,1
1.1.2.2.2.2.3.3.5.5.,5
1.1.2.2.2.2.3.3.5.7.,1
1.1.2.2.2.2.3.3.6.,5
1.1.2.2.2.2.3.3.6.6.6.,1
1.1.2.2.2.2.3.4.4.4.6.7.,1
1.1.2.2.2.2.3.4.4.5.,6
1.1.2.2.2.2.3.4.4.5.5.6.7.,2
1.1.2.2.2.2.3.4.5.,10
1.1.2.2.2.2.3.4.5.6.,1
1.1.2.2.2.2.3.5.,4
1.1.2.2.2.2.3.5.5.5.,2
1.1.2.2.2.2.3.5.6.,2
1.1.2.2.2.2.4.,11
1.1.2.2.2.2.4.4.,7
1.1.2.2.2.2.4.4.4.5.5.6.,1
1.1.2.2.2.2.4.4.5.7.,1
1.1.2.2.2.2.4.6.,4
1.1.2.2.2.2.5.5.6.,1
1.1.2.2.2.3.3.,55
1.1.2.2.2.3.3.3.3.,15
1.1.2.2.2.3.3.3.3.3.3.5.5.,1
1.1.2.2.2.3.3.3.3.3.4.5.6.6.,5
1.1.2.2.2.3.3.3.3.3.5.5.5.,1
1.1.2.2.2.3.3.3.3.4.,9
1.1.2.2.2.3.3.3.3.4.4.,6
1.1.2.2.2.3.3.3.3.4.4.5.6.7.,1
1.1.2.2.2.3.3.3.3.4.5.5.,2
1.1.2.2.2.3.3.3.3.5.5.5.6.7.8.,3
1.1.2.2.2.3.3.3.3.5.7.,1
1.1.2.2.2.3.3.3.4.4.4.4.5.7.7.,4
1.1.2.2.2.3.3.3.4.4.4.5.,3
1.1.2.2.2.3.3.3.4.4.5.6.6.,2
1.1.2.2.2.3.3.3.4.4.6.6.7.,1
1.1.2.2.2.3.3.3.4.5.,8
1.1.2.2.2.3.3.3.4.5.8.,1
1.1.2.2.2.3.3.3.5.,3
1.1.2.2.2.3.3.4.,26
1.1.2.2.2.3.3.4.4.,12
1.1.2.2.2.3.3.4.4.4.,6
1.1.2.2.2.3.3.4.4.4.5.5.,1
1.1.2.2.2.3.3.4.4.4.6.6.,1
1.1.2.2.2.3.3.4.5.5.,1
1.1.2.2.2.3.3.4.5.6.7.,3
1.1.2.2.2.3.3.4.5.7.,2
1.1.2.2.2.3.3.4.6.,2
1.1.2.2.2.3.3.5.5.6.,1
1.1.2.2.2.3.3.6.,16
1.1.2.2.2.3.4.4.4.5.,2
1.1.2.2.2.3.4.4.5.,15
1.1.2.2.2.3.4.4.5.5.7.,1
1.1.2.2.2.3.4.4.5.6.6.,1
1.1.2.2.2.3.4.5.,6
1.1.2.2.2.3.5.,13
1.1.2.2.2.4.,47
1.1.2.2.2.4.4.,10
1.1.2.2.2.4.4.4.,9
